WO,WO Status,P/N,P/N Desc,Qty Required,WO Due,Cust ID,Customer,SO,SO Line,WC,WC Description,?/Hr,OP No,Set Up,Time per Part,OP Complete,OP Description,SUB Con Supplier,SUB Con Lead,WORoutQtyBooked,WOMasterNo,WOParentNo,SOLineRequiredDate,SOLineUnitPrice,Time Booked,Op WIP,WOSubContract,POSubConDate
16653,WIP,E/14891-1,H2 STORAGE VESSELS,3.000000,2021-08-11 00:00:00.000,NULL,NULL,0,0,GENERAL,HANDLING,55.000000,10,0.00000000,0.00000000,1,TOTAL HOURS,NULL,0,0.000000,16653,16653,NULL,NULL,2.05000000,0,0,NULL
16653,WIP,E/14891-1,H2 STORAGE VESSELS,3.000000,2021-08-11 00:00:00.000,NULL,NULL,0,0,SUBCON,Subcontract Operation,0.000000,20,0.00000000,0.00000000,1,DESIGN & DRAWING,NULL,0,2.000000,16653,16653,NULL,NULL,0.00000000,0,1,2021-01-04 00:00:00.000
16653,WIP,E/14891-1,H2 STORAGE VESSELS,3.000000,2021-08-11 00:00:00.000,NULL,NULL,0,0,SUBCON,Subcontract Operation,0.000000,30,0.00000000,0.00000000,1,THIRD PARTY INSPECTION,NULL,0,0.000000,16653,16653,NULL,NULL,0.00000000,0,1,NULL
16653,WIP,E/14891-1,H2 STORAGE VESSELS,3.000000,2021-08-11 00:00:00.000,NULL,NULL,0,0,SUBCON,Subcontract Operation,0.000000,40,0.00000000,0.00000000,1,FORMING,NULL,0,3.000000,16653,16653,NULL,NULL,0.00000000,0,1,2020-12-18 00:00:00.000
16653,WIP,E/14891-1,H2 STORAGE VESSELS,3.000000,2021-08-11 00:00:00.000,NULL,NULL,0,0,SUBCON,Subcontract Operation,0.000000,50,0.00000000,0.00000000,1,HEAT TREATMENT,NULL,0,0.000000,16653,16653,NULL,NULL,0.00000000,0,1,NULL
16653,WIP,E/14891-1,H2 STORAGE VESSELS,3.000000,2021-08-11 00:00:00.000,NULL,NULL,0,0,SUBCON,Subcontract Operation,0.000000,60,0.00000000,0.00000000,1,NDT,NULL,0,2.000000,16653,16653,NULL,NULL,0.00000000,0,1,2021-02-22 00:00:00.000
16653,WIP,E/14891-1,H2 STORAGE VESSELS,3.000000,2021-08-11 00:00:00.000,NULL,NULL,0,0,SUBCON,Subcontract Operation,0.000000,70,0.00000000,0.00000000,1,PAINT,NULL,0,5.000000,16653,16653,NULL,NULL,0.00000000,0,1,2021-01-27 00:00:00.000
16653,WIP,E/14891-1,H2 STORAGE VESSELS,3.000000,2021-08-11 00:00:00.000,NULL,NULL,0,0,SUBCON,Subcontract Operation,0.000000,80,0.00000000,0.00000000,1,TRANSPORT,NULL,0,0.000000,16653,16653,NULL,NULL,0.00000000,0,1,NULL
16653,WIP,E/14891-1,H2 STORAGE VESSELS,3.000000,2021-08-11 00:00:00.000,NULL,NULL,0,0,SUBCON,Subcontract Operation,0.000000,90,0.00000000,0.00000000,1,HIRE EQUIPMENT,NULL,0,3.000000,16653,16653,NULL,NULL,0.00000000,0,1,2021-08-20 00:00:00.000
16653,WIP,E/14891-1,H2 STORAGE VESSELS,3.000000,2021-08-11 00:00:00.000,NULL,NULL,0,0,SUBCON,Subcontract Operation,0.000000,100,0.00000000,0.00000000,1,SUB CONTRACT WORK,NULL,0,7.000000,16653,16653,NULL,NULL,0.00000000,0,1,2020-12-21 00:00:00.000
16653,WIP,E/14891-1,H2 STORAGE VESSELS,3.000000,2021-08-11 00:00:00.000,NULL,NULL,0,0,SUBCON,Subcontract Operation,0.000000,110,0.00000000,0.00000000,1,FORMING,NULL,0,3.000000,16653,16653,NULL,NULL,0.00000000,0,1,2020-12-18 00:00:00.000
16653,WIP,E/14891-1,H2 STORAGE VESSELS,3.000000,2021-08-11 00:00:00.000,NULL,NULL,0,0,SUBCON,Subcontract Operation,0.000000,120,0.00000000,0.00000000,1,SUB CONTRACT WORK,NULL,0,20.000000,16653,16653,NULL,NULL,0.00000000,0,1,2021-01-11 00:00:00.000
16653,WIP,E/14891-1,H2 STORAGE VESSELS,3.000000,2021-08-11 00:00:00.000,NULL,NULL,0,0,SUBCON,Subcontract Operation,0.000000,130,0.00000000,0.00000000,1,SUB CONTRACT WORK,NULL,0,5.000000,16653,16653,NULL,NULL,0.00000000,0,1,2020-12-21 00:00:00.000
16653,WIP,E/14891-1,H2 STORAGE VESSELS,3.000000,2021-08-11 00:00:00.000,NULL,NULL,0,0,SUBCON,Subcontract Operation,0.000000,140,0.00000000,0.00000000,1,MACHINING,NULL,0,0.000000,16653,16653,NULL,NULL,0.00000000,0,1,2021-02-01 00:00:00.000
16653,WIP,E/14891-1,H2 STORAGE VESSELS,3.000000,2021-08-11 00:00:00.000,NULL,NULL,0,0,SUBCON,Subcontract Operation,0.000000,150,0.00000000,0.00000000,1,MACHINING,NULL,0,3.000000,16653,16653,NULL,NULL,0.00000000,0,1,2021-02-02 00:00:00.000
