PartNo,PartRev,PartStatus,PartDescription,PartGroupCode,PartNominal,PartGroupSubCode,PartAdditionalRef,PartDrawingNo,PartDrawingPath,PartMainlyPurchased,PartMaterialSpec,PartMaterialCost,PartMaterialCostStd,PartLabourSetUpCost,PartLabourRunCost,PartLabourCostStd,PartSubconCostStd,PartLabourSetUpTime,PartLabourRunTime,PartPurchasingCost,PartSubContractCost,PartSundryCost,PartSellingPrice,PartStandardCost,PartUOM,PartUOP,PartUOMUOPConv,PartDefLocation,PartStockActive,PartStockQuarantine,PartStockSORequirement,PartStockWORequirement,PartStockSOAllocated,PartStockOnOrderSO,PartStockOnOrderPO,PartStockOnOrderWO,PartLeadTime,PartLeadTimeSales,PartLeadTimeMan,PartMOQWO,PartMOQSO,PartMOQPO,PartMinStockLev,PartSafetyStockLev,PartROL,PartROLUOM,PartROQ,PartROQUOM,PartWidth,PartReviewed,PartPrefSupplier,PartDefCust,PartCommodityCode,PartWeight,PartNominal_PO,PartStockableItem,PartLifedItem,PartSaleableItem,PartCreated,PartBOMName,PartBOMRev,PartRoutName,PartRoutRev,PartGenTypeName,PartCalibToolRef,PartDefaultAltCust,PartDefaultAltSupp,PartPhantom,PartStandardCostAutoUpdate,PartCofCRequired,PartRequiresRelease,PartDefaultJobType,PartIsForecastItem,PartStockWORequirement_Forecast,PartStockOnOrderWO_Forecast,PartLabourSetUpCost_SalesRate,PartLabourRunCost_SalesRate,PartMachiningPercentage,PartMaxStockLev,PartSheetX,PartSheetY,PartStockCategory,PartRoundUpBatchQty,PartBatchQtyWO,PartBatchQtyPO,PartPurchasingCostLastUpdated,PartSellingPriceLastUpdated,PartStandardCostLastUpdated,PartFinishType,PartPricePerKG,PartLinkedPN,PartLastStockCheck,PartSheetThickness,PartSheetGrade,PartStockedIn,PartPurchasingCostPerTonne,PartReclaim,PartSectionalArea,PartStandardLength,PartStandardBreadth,PartBOMPath,PartIsFreeIssueItem,PartVATIDOverwrite_Sales,PartVATID_Sales,PartVATIDOverwrite_Purchase,PartVATID_Purchase,PartStockRequiresRelease,PartBOMLocked,PartRoutingLocked,PartBOMWeight,PartUsedInUnit,PartMSLOfStdSizeUnits,InventoryAssociatedDocuments,InventoryLaserParameters(PartNo),InventoryLaserParameters(PartNo) 2,InventoryPartBOM(PartNo),InventoryPartBOM(PartNo) 2,InventoryPartRouting,InventoryPriceMatrix,InventorySubContractPriceMatrix_NEW,SalesOrderDetails,StockAllocationWO,WorksOrdersBOM,tlkpFinishType,tlkpInventoryGroupCode,tlkpInventoryStatus,tlkpStockLocations,tlkpWOJobType,zzz_InventoryBOM(PartNo),zzz_InventoryBOM(PartNo) 2
 0001,null,3,CORUS UNDERFIRING GAS MAIN REDCAR COKE OVENS - SUPPORTS AND STEELWORK,SALES,(Default),null,null,null,null,FALSE,null,0,0,0,0,0,0,0,0,0,0,0,0,0,Each,Each,1,MAIN SHOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,null,0,FALSE,null,null,,0,(Default),FALSE,FALSE,FALSE,13/08/2004 00:00:00,STANDARD,1,STANDARD,1,,null,null,null,FALSE,01/01/2000 00:00:00,FALSE,FALSE,null,null,0,0,0,0,null,0,null,null,null,FALSE,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,0,null,null,null,null,0,[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],,,,,,[Table],[Table]
 0002,null,1,ALUMINIUM CHEQUER PLATE / PRESSED ANGLES,SALES,null,null,null,null,null,FALSE,null,0,0,0,0,0,0,0,0,0,0,0,0,0,Each,Each,1,MAIN SHOP,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,null,0,null,null,FALSE,null,null,null,null,null,FALSE,FALSE,FALSE,04/10/2004 00:00:00,STANDARD,null,STANDARD,1,null,null,null,null,FALSE,01/01/2000 00:00:00,FALSE,FALSE,null,null,0,0,0,0,null,0,null,null,null,FALSE,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,0,null,null,null,null,0,[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],,,,,,[Table],[Table]
001,null,1,DEFAILT ROUTE ESTIMATE,SALES,(Default),null,null,null,null,FALSE,null,1,1,0,0,0,0,0,0,0,0,0,0,0,Each,Each,1,3 SHOP ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,null,0,FALSE,null,null,(Default),0,(Default),FALSE,FALSE,FALSE,20/05/2011 00:00:00,STANDARD,1,STANDARD,1,,0,null,null,FALSE,01/01/2000 00:00:00,FALSE,FALSE,null,null,0,0,0,0,null,0,null,null,null,FALSE,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,0,null,null,null,null,0,[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],,,,,,[Table],[Table]
01/1156,null,3,DIESEL STORAGE TANK,SALES,null,null,null,008225/001 REV A,null,FALSE,null,5500,5500,0,7020,7020,0,0,390,0,0,0,0,12520,Ea,Each,1,STORES,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,Ea,0,Ea,0,FALSE,null,null,null,null,null,FALSE,FALSE,FALSE,01/01/2000 00:00:00,STANDARD,null,STANDARD,null,null,null,null,null,FALSE,01/01/2000 00:00:00,FALSE,FALSE,null,null,0,0,0,7020,null,0,null,null,null,FALSE,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,0,null,null,null,null,0,[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],,,,,,[Table],[Table]
04/3111,null,1,"2 NO 20 X 22"" TRAPS & SKIDS",SALES,null,null,null,null,null,FALSE,null,0,0,0,0,0,0,0,0,0,0,0,0,0,Each,Each,1,MAIN SHOP,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,null,0,null,null,FALSE,null,null,null,null,null,FALSE,FALSE,FALSE,22/06/2004 00:00:00,STANDARD,null,STANDARD,1,null,null,null,null,FALSE,01/01/2000 00:00:00,FALSE,FALSE,null,null,0,0,0,0,null,0,null,null,null,FALSE,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,0,null,null,null,null,0,[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],,,,,,[Table],[Table]
050001,null,1,INSTRUMENT STANDS,SALES,(Default),null,null,null,null,FALSE,null,610,610,0,1509.4375,1309.46,0,0,76.05,0,0,0,0,0,Each,Each,1,MAIN SHOP,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,null,0,null,null,FALSE,null,null,(Default),0,(Default),FALSE,FALSE,FALSE,19/09/2005 00:00:00,STANDARD,null,STANDARD,1,null,null,null,null,FALSE,01/01/2000 00:00:00,FALSE,FALSE,null,null,0,0,0,1509.4375,null,0,null,null,null,FALSE,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,0,null,null,null,null,0,[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],,,,,,[Table],[Table]
1000,null,1,50% OF ORIGINAL ORDER INVOICED,SALES,(Default),null,null,null,null,FALSE,null,0,0,0,0,0,0,0,0,0,0,0,0,0,Each,Each,1,MAIN SHOP,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,null,0,null,null,FALSE,null,null,(Default),0,(Default),FALSE,FALSE,FALSE,07/07/2006 00:00:00,STANDARD,null,STANDARD,1,null,null,null,null,FALSE,01/01/2000 00:00:00,FALSE,FALSE,null,null,0,0,0,0,null,0,null,null,null,FALSE,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,0,null,null,null,null,0,[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],,,,,,[Table],[Table]
10000,A1,3,CELLAR DECK CONDUCTOR GUIDES,SALES,(Default),null,RIVER FIELD DEVELOPMENT,4435-F-03-AE-057,null,FALSE,null,0,0,0,0,0,0,0,0,0,0,0,0,0,Each,Each,1,BAR RACK,0,0,0,0,0,0,0,0,1,null,1,0,0,0,0,0,0,null,0,null,null,FALSE,null,null,,0,(Default),FALSE,FALSE,FALSE,01/01/2000 00:00:00,STANDARD,1,STANDARD,1,,null,null,null,FALSE,01/01/2000 00:00:00,FALSE,FALSE,null,null,0,0,0,0,null,0,null,null,null,FALSE,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,0,null,null,null,null,0,[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],,,,,,[Table],[Table]
10001,null,1,"6 NO. PRISM MEMBRANES
PC4030-D2-6A-20

2 NO. OXYGEN SENSORS
OC-16

CERTIFICATE OF ORIGIN, C OF C AND DELIVERY TO GEODIS OIL & GAS LOGISTICS SERVICES",CHEMITROL SPARES,(Default),null,null,null,null,FALSE,null,8535,8535,0,0,0,200,0,0.00027778,0,0,0,0,0,Each,Each,1,MAIN SHOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,null,0,FALSE,null,null,,0,(Default),FALSE,FALSE,FALSE,22/10/2004 00:00:00,STANDARD,1,STANDARD,1,,null,null,null,FALSE,01/01/2000 00:00:00,FALSE,FALSE,null,null,0,0,0,0,null,0,null,null,null,FALSE,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,0,null,null,null,null,0,[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],,,,,,[Table],[Table]
10002,null,1,"2 No 24"" DIA STEEL RINGS",SALES,(Default),null,null,null,null,FALSE,null,0,0,0,0,0,0,0,0,0,0,0,0,0,Each,Each,1,MAIN SHOP,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,null,0,null,null,FALSE,null,null,(Default),0,(Default),FALSE,FALSE,FALSE,16/09/2005 00:00:00,STANDARD,null,STANDARD,1,null,null,null,null,FALSE,01/01/2000 00:00:00,FALSE,FALSE,null,null,0,0,0,0,null,0,null,null,null,FALSE,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,0,null,null,null,null,0,[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],,,,,,[Table],[Table]
