TSNo,TSEmployeeID,TSType,TSDate,TSWONo,TSOperNo,TSWCID,TSWCRate,TSStartTime,TSFinishTime,TSTotTimehrs,TSTotTimemins,TSTotTimeDec,TSQuantity,TSLostTimeID,TSLostTimeDets,TSNotes,TSOpComplete,TSPercentComp,TSUnitTime,TSEmployeeRate,TSUnplannedOp,TSScrapQty,TSScrapReason,TSReworkID,TSReworkReason,TSBookingRef,tlkpLostTimeCategories,tlkpWorkCentre
792839,360,2,17/11/2022 08:21:00,17547,40,WELD,55,17/11/2022 08:21:00,17/11/2022 08:29:42,0,8,0.13333333,0,null,null,null,FALSE,0,0,0,FALSE,0,null,null,null,null,,
792838,360,3,17/11/2022 07:53:00,0,0,null,0,17/11/2022 07:53:00,17/11/2022 08:21:22,0,28,0.46666667,0,50,PRODUCTION DOWNTIME,null,FALSE,0,0,0,FALSE,0,null,null,null,null,,
792837,660,2,16/11/2022 22:30:00,17455,150,WELD,55,16/11/2022 22:30:00,17/11/2022 05:00:34,6,30,6.5,0,null,null,null,FALSE,0,0,0,FALSE,0,null,null,null,null,,
792836,804,2,16/11/2022 22:30:00,17454,130,PLATE,55,16/11/2022 22:30:00,17/11/2022 05:00:26,6,30,6.5,0,null,null,null,FALSE,0,0,0,FALSE,0,null,null,null,null,,
792835,814,2,16/11/2022 22:30:00,17451,90,PLATE,55,16/11/2022 22:30:00,17/11/2022 05:00:19,6,30,6.5,0,null,null,null,FALSE,0,0,0,FALSE,0,null,null,null,null,,
792834,617,2,16/11/2022 22:30:00,17451,40,WELD,55,16/11/2022 22:30:00,17/11/2022 05:00:12,6,30,6.5,0,null,null,null,FALSE,0,0,0,FALSE,0,null,null,null,null,,
792833,626,2,16/11/2022 22:30:00,17455,150,WELD,55,16/11/2022 22:30:00,17/11/2022 05:00:03,6,30,6.5,0,null,null,null,FALSE,0,0,0,FALSE,0,null,null,null,null,,
792832,160,2,16/11/2022 22:30:00,17472,190,WELD,55,16/11/2022 22:30:00,17/11/2022 04:00:02,5,30,5.5,0,null,null,null,FALSE,0,0,0,FALSE,0,null,null,null,null,,
792831,124,3,16/11/2022 22:30:00,0,0,null,0,16/11/2022 22:30:00,17/11/2022 03:23:21,4,53,4.88333333,0,30,FACILITY SERVICES,null,FALSE,0,0,0,FALSE,0,null,null,null,null,,
792830,20,2,16/11/2022 22:30:00,17332,540,WELD,55,16/11/2022 22:30:00,17/11/2022 03:00:28,4,30,4.5,0,null,null,null,FALSE,0,0,0,FALSE,0,null,null,null,null,,
792829,500,2,16/11/2022 22:30:00,17549,20,WELD,55,16/11/2022 22:30:00,17/11/2022 03:00:24,4,30,4.5,0,null,null,null,FALSE,0,0,0,FALSE,0,null,null,null,null,,
792828,21,2,16/11/2022 22:30:00,17452,60,PLATE,55,16/11/2022 22:30:00,17/11/2022 03:00:12,4,30,4.5,0,null,null,null,FALSE,0,0,0,FALSE,0,null,null,null,null,,
792827,776,2,16/11/2022 22:30:00,17451,90,PLATE,55,16/11/2022 22:30:00,17/11/2022 03:00:07,4,30,4.5,0,null,null,null,FALSE,0,0,0,FALSE,0,null,null,null,null,,
792826,657,3,16/11/2022 22:30:00,0,0,null,0,16/11/2022 22:30:00,17/11/2022 03:00:01,4,30,4.5,0,50,PRODUCTION DOWNTIME,null,FALSE,0,0,0,FALSE,0,null,null,null,null,,
792825,524,2,16/11/2022 22:30:00,17548,40,WELD,55,16/11/2022 22:30:00,17/11/2022 02:57:00,4,27,4.45,0,null,null,null,FALSE,0,0,0,FALSE,0,null,null,null,null,,
792824,610,2,16/11/2022 22:30:00,17452,60,PLATE,55,16/11/2022 22:30:00,17/11/2022 00:20:27,1,50,1.83333333,0,null,null,null,FALSE,0,0,0,FALSE,0,null,null,null,null,,
792823,814,2,16/11/2022 21:33:00,17451,90,PLATE,55,16/11/2022 21:33:00,16/11/2022 22:00:14,0,27,0.45,0,null,null,null,FALSE,0,0,0,FALSE,0,null,null,null,null,,
792813,160,2,16/11/2022 20:50:00,17472,190,WELD,55,16/11/2022 20:50:00,16/11/2022 22:00:06,1,10,1.16666667,0,null,null,null,FALSE,0,0,0,FALSE,0,null,null,null,null,,
792811,21,2,16/11/2022 19:58:00,17452,60,PLATE,55,16/11/2022 19:58:00,16/11/2022 22:00:04,2,2,2.03333333,0,null,null,null,FALSE,0,0,0,FALSE,0,null,null,null,null,,
792816,610,2,16/11/2022 19:17:00,17452,60,PLATE,55,16/11/2022 19:17:00,16/11/2022 22:00:08,2,43,2.71666667,0,null,null,null,FALSE,0,0,0,FALSE,0,null,null,null,null,,
792807,610,2,16/11/2022 18:00:00,17452,60,PLATE,55,16/11/2022 18:00:00,16/11/2022 18:29:43,0,29,0.48333333,0,null,null,null,FALSE,0,0,0,FALSE,0,null,null,null,null,,
792815,524,2,16/11/2022 17:56:00,17548,40,WELD,55,16/11/2022 17:56:00,16/11/2022 22:00:07,4,4,4.06666667,0,null,null,null,FALSE,0,0,0,FALSE,0,null,null,null,null,,
792804,524,3,16/11/2022 17:30:00,0,0,null,0,16/11/2022 17:30:00,16/11/2022 17:56:00,0,26,0.43333333,0,50,PRODUCTION DOWNTIME,null,FALSE,0,0,0,FALSE,0,null,null,null,null,,
792821,776,2,16/11/2022 17:28:00,17451,90,PLATE,55,16/11/2022 17:28:00,16/11/2022 22:00:12,4,32,4.53333333,0,null,null,null,FALSE,0,0,0,FALSE,0,null,null,null,null,,
792810,20,2,16/11/2022 17:24:00,17332,540,WELD,55,16/11/2022 17:24:00,16/11/2022 22:00:03,4,36,4.6,0,null,null,null,FALSE,0,0,0,FALSE,0,null,null,null,null,,
792820,660,2,16/11/2022 17:16:00,17455,150,WELD,55,16/11/2022 17:16:00,16/11/2022 22:00:11,4,44,4.73333333,0,null,null,null,FALSE,0,0,0,FALSE,0,null,null,null,null,,
792818,626,2,16/11/2022 17:16:00,17452,80,WELD,55,16/11/2022 17:16:00,16/11/2022 22:00:00,4,44,4.73333333,0,null,null,null,FALSE,0,0,0,FALSE,0,0,0,null,null,,
