WONo,WOPartNo,WORef,WOSalesOrder,WOLineNo,WOStatus,WOProjectNo,WOQty,WOQtyReceived,WOQtyOS,WOCreationDate,WOCreatedByUser,WOSchedStartDate,WOSchedFinishDate,WOActualStartDate,WOActualFinishDate,WODateTotalQtyReceived,WOJobType,WOPriority,WOMasterNo,WOblnLotCards,WOLotQty,WOReprintNo,WOLastBatchNo,WORevNo,WOBonus,WOBookingRef,WOParentNo,WOBOMName,WOBOMRev,WORoutName,WORoutRev,WOOffPlanReason,WOTycoTestID,WOEstMatCost,WOEstLabCost,WOEstSubCost,WOEstOrigQty,WOSFLStatus,WODepartment,WOStandard,WOIsForecast,WOOriginalForecastNo,WOForecastCustomer,MasterWO_SO,MasterWO_SOLine,WOLevel,WOIssueLocation,WOEarliestStartDate,WOSplitFromWONo,WOCastCode,WO3rdPartyUpdate,PM_DateSentToPM,PM_NestNo,PM_DateSentToMachine,PM_DateCut,StockAllocationWO,WorksOrdersBOM,WorksOrdersRouting,tlkpWOJobType
17552,E/15244-14,211130,6360,13,30,A REED,1,1,0,17/11/2022 00:00:00,JACQUELINE GATENBY,17/11/2022 00:00:00,17/11/2022 00:00:00,17/11/2022 00:00:00,null,17/11/2022 00:00:00,null,null,17552,FALSE,0,0,1,null,0,null,17552,STANDARD,null,STANDARD,null,null,0,1,0,0,1,null,null,-1,FALSE,0,null,6360,13,0,null,17/11/2022 00:00:00,0,null,UPDATE,null,null,null,null,[Table],[Table],[Table],
17551,E/15433-3,000000459,6343,3,10,A REED,1,0,1,16/11/2022 00:00:00,JACQUELINE GATENBY,16/11/2022 00:00:00,16/11/2022 00:00:00,null,null,null,null,null,17551,FALSE,0,0,0,null,0,null,17551,STANDARD,null,STANDARD,null,null,0,1,0,0,1,null,null,-1,FALSE,0,null,6343,3,0,null,16/11/2022 00:00:00,0,null,UPDATE,null,null,null,null,[Table],[Table],[Table],
17550,E/15940-4,TBC,6424,4,10,null,1,0,1,15/11/2022 00:00:00,JACQUELINE GATENBY,15/11/2022 00:00:00,15/11/2022 00:00:00,null,null,null,null,null,17550,FALSE,0,1,0,null,0,null,17550,STANDARD,null,STANDARD,null,null,0,1,4070,0,1,null,null,-1,FALSE,0,null,6424,4,0,null,15/11/2022 00:00:00,0,null,UPDATE,null,null,null,null,[Table],[Table],[Table],
17549,E/15940-3,TBC,6424,3,20,null,1,0,1,15/11/2022 00:00:00,JACQUELINE GATENBY,15/11/2022 00:00:00,15/11/2022 00:00:00,16/11/2022 16:30:39,null,null,null,null,17549,FALSE,0,1,0,null,0,null,17549,STANDARD,null,STANDARD,null,null,0,1,4070,0,1,null,null,-1,FALSE,0,null,6424,3,0,null,15/11/2022 00:00:00,0,null,UPDATE,null,null,null,null,[Table],[Table],[Table],
17548,E/15940-2,TBC,6424,2,20,null,1,0,1,15/11/2022 00:00:00,JACQUELINE GATENBY,15/11/2022 00:00:00,15/11/2022 00:00:00,14/11/2022 00:00:00,null,null,null,null,17548,FALSE,0,1,0,null,0,null,17548,STANDARD,null,STANDARD,null,null,0,1,4070,0,1,null,null,-1,FALSE,0,null,6424,2,0,null,15/11/2022 00:00:00,0,null,UPDATE,null,null,null,null,[Table],[Table],[Table],
17547,E/15940-1,TBC,6424,1,20,null,1,0,1,15/11/2022 00:00:00,JACQUELINE GATENBY,15/11/2022 00:00:00,15/11/2022 00:00:00,14/11/2022 00:00:00,null,null,null,null,17547,FALSE,0,1,0,null,0,null,17547,STANDARD,null,STANDARD,null,null,0,1,4070,0,1,null,null,-1,FALSE,0,null,6424,1,0,null,15/11/2022 00:00:00,0,null,UPDATE,null,null,null,null,[Table],[Table],[Table],
17546,E/15931-1,PO-11645,6423,1,10,A BLACKWOOD,1,0,1,14/11/2022 00:00:00,JACQUELINE GATENBY,14/11/2022 00:00:00,30/11/2022 00:00:00,null,null,null,null,null,17546,FALSE,0,0,0,null,0,null,17546,STANDARD,null,STANDARD,null,null,0,1,2420,4040,1,null,null,-1,FALSE,0,null,6423,1,0,null,14/11/2022 00:00:00,0,null,UPDATE,null,null,null,null,[Table],[Table],[Table],
17545,E/15806-1,723057 OP,6422,1,10,null,1,0,1,14/11/2022 00:00:00,JACQUELINE GATENBY,14/11/2022 00:00:00,22/12/2022 00:00:00,null,null,null,null,null,17545,FALSE,0,0,0,null,0,null,17545,STANDARD,null,STANDARD,null,null,0,256.65,1465.077777,210,1,null,null,-1,FALSE,0,null,6422,1,0,null,14/11/2022 00:00:00,0,null,NEW,null,null,null,null,[Table],[Table],[Table],
17544,E/15802-3,PO4540,6395,3,20,null,1,0,1,10/11/2022 00:00:00,JACQUELINE GATENBY,10/11/2022 00:00:00,10/11/2022 00:00:00,14/11/2022 15:30:00,null,null,null,null,17544,FALSE,0,0,0,null,0,null,17544,STANDARD,null,STANDARD,null,null,0,1,0,0,1,null,null,-1,FALSE,0,null,6395,3,0,null,10/11/2022 00:00:00,0,null,NEW,null,null,null,null,[Table],[Table],[Table],
17543,E/15802-2,PO4540,6395,2,10,null,1,0,1,10/11/2022 00:00:00,JACQUELINE GATENBY,10/11/2022 00:00:00,10/11/2022 00:00:00,null,null,null,null,null,17543,FALSE,0,0,0,null,0,null,17543,STANDARD,null,STANDARD,null,null,0,1,0,0,1,null,null,-1,FALSE,0,null,6395,2,0,null,10/11/2022 00:00:00,0,null,UPDATE,null,null,null,null,[Table],[Table],[Table],
17542,E/15854-2,SC1032793,6406,2,20,5. C SHIELS,1,0,1,10/11/2022 00:00:00,JACQUELINE GATENBY,10/11/2022 00:00:00,30/11/2022 00:00:00,31/10/2022 00:00:00,null,null,null,null,17542,FALSE,0,0,0,null,0,null,17542,STANDARD,null,STANDARD,null,null,0,1,0,0,1,null,null,-1,FALSE,0,null,6406,2,0,null,10/11/2022 00:00:00,0,null,UPDATE,null,null,null,null,[Table],[Table],[Table],
17541,E/15918-6,TBC,6421,6,10,null,1,0,1,10/11/2022 00:00:00,JACQUELINE GATENBY,10/11/2022 00:00:00,10/11/2022 00:00:00,null,null,null,null,null,17541,FALSE,0,0,0,null,0,null,17541,STANDARD,null,STANDARD,null,null,0,1,0,0,1,null,null,-1,FALSE,0,null,6421,6,0,null,10/11/2022 00:00:00,0,null,UPDATE,null,null,null,null,[Table],[Table],[Table],
17540,E/15918-5,TBC,6421,5,10,null,1,0,1,10/11/2022 00:00:00,JACQUELINE GATENBY,10/11/2022 00:00:00,10/11/2022 00:00:00,null,null,null,null,null,17540,FALSE,0,0,0,null,0,null,17540,STANDARD,null,STANDARD,null,null,0,1,0,0,1,null,null,-1,FALSE,0,null,6421,5,0,null,10/11/2022 00:00:00,0,null,UPDATE,null,null,null,null,[Table],[Table],[Table],
17539,E/15918-4,TBC,6421,4,10,null,1,0,1,10/11/2022 00:00:00,JACQUELINE GATENBY,10/11/2022 00:00:00,10/11/2022 00:00:00,null,null,null,null,null,17539,FALSE,0,0,0,null,0,null,17539,STANDARD,null,STANDARD,null,null,0,1,0,0,1,null,null,-1,FALSE,0,null,6421,4,0,null,10/11/2022 00:00:00,0,null,UPDATE,null,null,null,null,[Table],[Table],[Table],
17538,E/15918-3,TBC,6421,3,10,null,1,0,1,10/11/2022 00:00:00,JACQUELINE GATENBY,10/11/2022 00:00:00,10/11/2022 00:00:00,null,null,null,null,null,17538,FALSE,0,0,0,null,0,null,17538,STANDARD,null,STANDARD,null,null,0,1,0,0,1,null,null,-1,FALSE,0,null,6421,3,0,null,10/11/2022 00:00:00,0,null,UPDATE,null,null,null,null,[Table],[Table],[Table],
17537,E/15918-2,TBC,6421,2,10,null,1,0,1,10/11/2022 00:00:00,JACQUELINE GATENBY,10/11/2022 00:00:00,10/11/2022 00:00:00,null,null,null,null,null,17537,FALSE,0,0,0,null,0,null,17537,STANDARD,null,STANDARD,null,null,0,1,0,0,1,null,null,-1,FALSE,0,null,6421,2,0,null,10/11/2022 00:00:00,0,null,UPDATE,null,null,null,null,[Table],[Table],[Table],
17536,E/15918-1,TBC,6421,1,10,null,1,0,1,10/11/2022 00:00:00,JACQUELINE GATENBY,10/11/2022 00:00:00,10/11/2022 00:00:00,null,null,null,null,null,17536,FALSE,0,0,0,null,0,null,17536,STANDARD,null,STANDARD,null,null,0,1959.45,40367.25,1200,1,null,null,-1,FALSE,0,null,6421,1,0,null,10/11/2022 00:00:00,0,null,UPDATE,null,null,null,null,[Table],[Table],[Table],
17535,VOR 22-075,20221229-GS,6402,2,50,null,1,1,0,09/11/2022 00:00:00,JACQUELINE GATENBY,09/11/2022 00:00:00,09/11/2022 00:00:00,09/11/2022 00:00:00,09/11/2022 00:00:00,09/11/2022 00:00:00,null,null,17535,FALSE,0,0,1,null,0,null,17535,MATERIAL COST,null,STANDARD,null,null,0,1,275,342,1,null,null,-1,FALSE,0,null,6402,2,0,null,09/11/2022 00:00:00,0,null,UPDATE,null,null,null,null,[Table],[Table],[Table],
17534,E/15837-1,4500903697,6420,1,20,DAVE McNEIL,1,0,1,08/11/2022 00:00:00,JACQUELINE GATENBY,08/11/2022 00:00:00,31/12/2022 00:00:00,11/11/2022 07:35:00,null,null,null,null,17534,FALSE,0,0,0,null,0,null,17534,STANDARD,null,STANDARD,null,null,0,6794.75,29773.39444,5554,1,null,null,-1,FALSE,0,null,6420,1,0,null,08/11/2022 00:00:00,0,null,UPDATE,null,null,null,null,[Table],[Table],[Table],
17533,E/15296-8,PO3229,6282,8,50,S ARMSTRONG,1,1,0,07/11/2022 00:00:00,JACQUELINE GATENBY,07/11/2022 00:00:00,07/11/2022 00:00:00,07/11/2022 00:00:00,07/11/2022 00:00:00,07/11/2022 00:00:00,null,null,17533,FALSE,0,0,1,null,0,null,17533,STANDARD,null,STANDARD,null,null,0,1,0,0,1,null,null,-1,FALSE,0,null,6282,8,0,null,07/11/2022 00:00:00,0,null,UPDATE,null,null,null,null,[Table],[Table],[Table],
17532,E/15296-7,PO3229,6282,7,50,S ARMSTRONG,1,1,0,07/11/2022 00:00:00,JACQUELINE GATENBY,07/11/2022 00:00:00,07/11/2022 00:00:00,07/11/2022 00:00:00,07/11/2022 00:00:00,07/11/2022 00:00:00,null,null,17532,FALSE,0,0,1,null,0,null,17532,STANDARD,null,STANDARD,null,null,0,1,0,0,1,null,null,-1,FALSE,0,null,6282,7,0,null,07/11/2022 00:00:00,0,null,UPDATE,null,null,null,null,[Table],[Table],[Table],
17531,E/15849-1,723009 OP,6419,1,20,G SKELTON,1,0,1,07/11/2022 00:00:00,JACQUELINE GATENBY,07/11/2022 00:00:00,13/01/2023 00:00:00,11/11/2022 00:00:00,null,null,null,null,17531,FALSE,0,0,0,null,0,null,17531,STANDARD,null,STANDARD,null,null,0,1585.75,4273.774999,100,1,null,null,-1,FALSE,0,null,6419,1,0,null,07/11/2022 00:00:00,0,null,UPDATE,null,null,null,null,[Table],[Table],[Table],
17530,E/15830-4,4500095475,6407,4,10,null,1,0,1,04/11/2022 00:00:00,JACQUELINE GATENBY,04/11/2022 00:00:00,04/11/2022 00:00:00,null,null,null,null,null,17530,FALSE,0,4,0,null,0,null,17530,STANDARD,null,STANDARD,null,null,0,1,0,0,1,null,null,-1,FALSE,0,null,6407,4,0,null,04/11/2022 00:00:00,0,null,UPDATE,null,null,null,null,[Table],[Table],[Table],
17529,E/15830-3,4500095475,6407,3,10,null,1,0,1,04/11/2022 00:00:00,JACQUELINE GATENBY,04/11/2022 00:00:00,04/11/2022 00:00:00,null,null,null,null,null,17529,FALSE,0,3,0,null,0,null,17529,STANDARD,null,STANDARD,null,null,0,1,0,0,1,null,null,-1,FALSE,0,null,6407,3,0,null,04/11/2022 00:00:00,0,null,UPDATE,null,null,null,null,[Table],[Table],[Table],
17528,E/15830-2,4500095475,6407,2,10,null,1,0,1,04/11/2022 00:00:00,JACQUELINE GATENBY,04/11/2022 00:00:00,04/11/2022 00:00:00,null,null,null,null,null,17528,FALSE,0,4,0,null,0,null,17528,STANDARD,null,STANDARD,null,null,0,1,0,0,1,null,null,-1,FALSE,0,null,6407,2,0,null,04/11/2022 00:00:00,0,null,UPDATE,null,null,null,null,[Table],[Table],[Table],
17527,E/15012-8,47042807,6277,8,50,null,1,1,0,03/11/2022 00:00:00,JACQUELINE GATENBY,03/11/2022 00:00:00,03/11/2022 00:00:00,03/11/2022 00:00:00,03/11/2022 00:00:00,03/11/2022 00:00:00,null,null,17527,FALSE,0,0,1,null,0,null,17527,STANDARD,null,STANDARD,null,null,0,1,0,0,1,null,null,-1,FALSE,0,null,6277,8,0,null,03/11/2022 00:00:00,0,null,UPDATE,null,null,null,null,[Table],[Table],[Table],
17526,E/15912-1,PO-11354,6418,1,50,null,1,1,0,03/11/2022 00:00:00,JACQUELINE GATENBY,03/11/2022 00:00:00,07/11/2022 00:00:00,04/11/2022 00:00:00,08/11/2022 00:00:00,08/11/2022 00:00:00,null,null,17526,FALSE,0,0,1,null,0,null,17526,STANDARD,null,STANDARD,null,null,0,1,2255,3020,1,null,null,-1,FALSE,0,null,6418,1,0,null,03/11/2022 00:00:00,0,null,UPDATE,null,null,null,null,[Table],[Table],[Table],
