WO,WO Status,P/N,P/N Desc,Qty Required,WO Due,Cust ID,Customer,SO,SO Line,WC,WC Description,?/Hr,OP No,Set Up,Time per Part,OP Complete,OP Description,SUB Con Supplier,SUB Con Lead,WORoutQtyBooked,WOMasterNo,WOParentNo,SOLineRequiredDate,SOLineUnitPrice,Time Booked,Op WIP,WOSubContract,POSubConDate
17551,Created,E/15433-3,Manufacturing drawings amalgamating conflicting details from Vesco and CDS drawings,1,16/11/2022 00:00:00,METALYSIS,METALYSIS LIMITED ,6343,3,GENERAL,HANDLING,55,10,0,0,FALSE,null,null,0,0,17551,17551,17/11/2022 00:00:00,1000,0,0,FALSE,null
17551,Created,E/15433-3,Manufacturing drawings amalgamating conflicting details from Vesco and CDS drawings,1,16/11/2022 00:00:00,METALYSIS,METALYSIS LIMITED ,6343,3,SUBCON,Subcontract Operation,0,20,0,0,FALSE,DESIGN & DRAWING,null,0,0,17551,17551,17/11/2022 00:00:00,1000,0,0,TRUE,17/11/2022 00:00:00
17550,Created,E/15940-4,"32"" UNIT

[welding of round blocks, bumper bar, fab weld of ROV grab handle]",1,15/11/2022 00:00:00,FLEXIBLE,FLEXIBLE ENGINEERED SOLUTIONS LTD,6424,4,WELD,WELDERS,55,20,0,13.75,FALSE,WELD THE ITEM 5 ROUND BAR TO THE RISER STRUCTURE.,null,0,0,17550,17550,16/11/2022 00:00:00,5930,0,0,FALSE,null
17550,Created,E/15940-4,"32"" UNIT

[welding of round blocks, bumper bar, fab weld of ROV grab handle]",1,15/11/2022 00:00:00,FLEXIBLE,FLEXIBLE ENGINEERED SOLUTIONS LTD,6424,4,PLATE,PLATERS,55,30,0,1.75,FALSE,TURN THE RISER HORIZONTAL & SECURE IT TO THE MANIPULATOR.,null,0,0,17550,17550,16/11/2022 00:00:00,5930,0,0,FALSE,null
17550,Created,E/15940-4,"32"" UNIT

[welding of round blocks, bumper bar, fab weld of ROV grab handle]",1,15/11/2022 00:00:00,FLEXIBLE,FLEXIBLE ENGINEERED SOLUTIONS LTD,6424,4,WELD,WELDERS,55,40,0,18.5,FALSE,WELD THE 6no ACTUATORS TO THE RISER STRUCTURE.,null,0,0,17550,17550,16/11/2022 00:00:00,5930,0,0,FALSE,null
17550,Created,E/15940-4,"32"" UNIT

[welding of round blocks, bumper bar, fab weld of ROV grab handle]",1,15/11/2022 00:00:00,FLEXIBLE,FLEXIBLE ENGINEERED SOLUTIONS LTD,6424,4,PLATE,PLATERS,55,50,0,2,FALSE,REMOVE THE TEMPORARY BRACING FROM THE ACTUATORS.,null,0,0,17550,17550,16/11/2022 00:00:00,5930,0,0,FALSE,null
17550,Created,E/15940-4,"32"" UNIT

[welding of round blocks, bumper bar, fab weld of ROV grab handle]",1,15/11/2022 00:00:00,FLEXIBLE,FLEXIBLE ENGINEERED SOLUTIONS LTD,6424,4,GENERAL,HANDLING,55,60,0,4.5,FALSE,FLUSH THE INTERNAL WELDS ON THE ACTUATOR CONNECTIONS.,null,0,0,17550,17550,16/11/2022 00:00:00,5930,0,0,FALSE,null
17550,Created,E/15940-4,"32"" UNIT

[welding of round blocks, bumper bar, fab weld of ROV grab handle]",1,15/11/2022 00:00:00,FLEXIBLE,FLEXIBLE ENGINEERED SOLUTIONS LTD,6424,4,SUBCON,Subcontract Operation,0,70,0,0,FALSE,N.D.T. THE 6no ACTUATOR TO RISER WELDED CONNECTIONS.,null,0,0,17550,17550,16/11/2022 00:00:00,5930,0,0,TRUE,null
17550,Created,E/15940-4,"32"" UNIT

[welding of round blocks, bumper bar, fab weld of ROV grab handle]",1,15/11/2022 00:00:00,FLEXIBLE,FLEXIBLE ENGINEERED SOLUTIONS LTD,6424,4,PLATE,PLATERS,55,80,0,1.5,FALSE,TURN THE RISER BACK TO THE VERTICAL POSITION & LEVEL IT UP.,null,0,0,17550,17550,16/11/2022 00:00:00,5930,0,0,FALSE,null
17550,Created,E/15940-4,"32"" UNIT

[welding of round blocks, bumper bar, fab weld of ROV grab handle]",1,15/11/2022 00:00:00,FLEXIBLE,FLEXIBLE ENGINEERED SOLUTIONS LTD,6424,4,PLATE,PLATERS,55,90,0,6,FALSE,DRESS & FIT ITEM 6 (8off) AND ITEM 7 TO THE RISER STRUCTURE.,null,0,0,17550,17550,16/11/2022 00:00:00,5930,0,0,FALSE,null
