CustID,CustName,SONo,SOLineNo,SOLineStatus,SOLineQty,QtyOS,SOLineNet,PartDescription,SODate,SOLineRequiredDate,SOLinePromisedDate,SOLinePartNo,NetOS,WONo,WOStatusDescription,WOQtyOS,WOActualStartDate,MaxWOSchedFinish
FLEXIBLE,FLEXIBLE ENGINEERED SOLUTIONS LTD,6424,1,10,1,1,5930,"32"" UNIT

[welding of round blocks, bumper bar, fab weld of ROV grab handle]",15/11/2022 00:00:00,16/11/2022 00:00:00,16/11/2022 00:00:00,E/15940-1,83020,17547,WIP,1,14/11/2022 00:00:00,15/11/2022 00:00:00
FLEXIBLE,FLEXIBLE ENGINEERED SOLUTIONS LTD,6424,2,10,1,1,5930,"32"" UNIT
 


[welding of round blocks, bumper bar, fab weld of ROV grab handle]",15/11/2022 00:00:00,16/11/2022 00:00:00,16/11/2022 00:00:00,E/15940-2,88950,17548,WIP,1,14/11/2022 00:00:00,15/11/2022 00:00:00
FLEXIBLE,FLEXIBLE ENGINEERED SOLUTIONS LTD,6424,3,10,1,1,5930,"32"" UNIT
 

[welding of round blocks, bumper bar, fab weld of ROV grab handle]",15/11/2022 00:00:00,16/11/2022 00:00:00,16/11/2022 00:00:00,E/15940-3,83020,17549,WIP,1,16/11/2022 16:30:39,15/11/2022 00:00:00
FLEXIBLE,FLEXIBLE ENGINEERED SOLUTIONS LTD,6424,4,0,1,1,5930,"32"" UNIT

[welding of round blocks, bumper bar, fab weld of ROV grab handle]",15/11/2022 00:00:00,16/11/2022 00:00:00,16/11/2022 00:00:00,E/15940-4,83020,17550,Created,1,null,15/11/2022 00:00:00
ABBEYDEMATIC,ABBEY GROUP INDUSTRIAL SERVICES LTD,6423,1,0,1,1,7600,WINCANTON - HEINZ - CRANE CRACK REPAIR,14/11/2022 00:00:00,30/11/2022 00:00:00,30/11/2022 00:00:00,E/15931-1,15200,17546,Created,1,null,30/11/2022 00:00:00
MERSENUK,MERSEN UK SSC,6422,1,0,1,1,2400,HEAT EXCHANGER PARTS - PM8 SHELL,14/11/2022 00:00:00,22/12/2022 00:00:00,22/12/2022 00:00:00,E/15806-1,12000,17545,Created,1,null,22/12/2022 00:00:00
FLEXIBLE,FLEXIBLE ENGINEERED SOLUTIONS LTD,6421,1,0,1,1,55800,"32"" BSDL",10/11/2022 00:00:00,11/11/2022 00:00:00,11/11/2022 00:00:00,E/15918-1,1060200,17536,Created,1,null,10/11/2022 00:00:00
FLEXIBLE,FLEXIBLE ENGINEERED SOLUTIONS LTD,6421,2,0,1,1,0,"32"" BSDL",10/11/2022 00:00:00,11/11/2022 00:00:00,11/11/2022 00:00:00,E/15918-2,0,17537,Created,1,null,10/11/2022 00:00:00
FLEXIBLE,FLEXIBLE ENGINEERED SOLUTIONS LTD,6421,3,0,1,1,0,"32"" BSDL",10/11/2022 00:00:00,11/11/2022 00:00:00,11/11/2022 00:00:00,E/15918-3,0,17538,Created,1,null,10/11/2022 00:00:00
FLEXIBLE,FLEXIBLE ENGINEERED SOLUTIONS LTD,6421,4,0,1,1,0,"32"" BSDL",10/11/2022 00:00:00,11/11/2022 00:00:00,11/11/2022 00:00:00,E/15918-4,0,17539,Created,1,null,10/11/2022 00:00:00
