WONo,PlannedLabour,PlannedLabourST,PlannedLabourTotalRT,PlannedHours,PlannedHoursST,PlannedHoursTotalRT,ActualLabour,ActualLabourST,ActualLabourUnit,ActualHours,ActualHoursST,ActualHoursUnit,OutstandingPlannedHours,OutstandingPlannedLabourCost
17551,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17550,4070,0,4070,74,0,74,0,0,0,0,0,0,74,4070
17549,4070,0,4070,74,0,74,593.083334,0,593.083334,10.78333334,0,10.78333334,63.21666666,3476.916666
17548,4070,0,4070,74,0,74,1370.416667,0,1370.416667,24.91666667,0,24.91666667,52.33333333,2878.333333
17547,4070,0,4070,74,0,74,360.25,0,360.25,6.55,0,6.55,67.45,3709.75
17546,2420,0,2420,44,0,44,0,0,0,0,0,0,44,2420
17545,1465.077777,0,1465.077777,26.63777777,0,26.63777777,0,0,0,0,0,0,26.63777777,1465.077777
17544,0,0,0,0,0,0,407.916667,0,407.916667,7.41666667,0,7.41666667,0,0
17543,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17542,19800,0,19800,360,0,360,12017.5,0,12017.5,218.5,0,218.5,141.5,7782.5
17541,6710,0,6710,122,0,122,0,0,0,0,0,0,122,6710
17540,6710,0,6710,122,0,122,0,0,0,0,0,0,122,6710
17539,6710,0,6710,122,0,122,0,0,0,0,0,0,122,6710
17538,6710,0,6710,122,0,122,0,0,0,0,0,0,122,6710
17537,6710,0,6710,122,0,122,0,0,0,0,0,0,122,6710
17536,6710,0,6710,122,0,122,0,0,0,0,0,0,122,6710
17535,275,0,275,5,0,5,0,0,0,0,0,0,5,275
17534,29773.39444,0,29773.39444,541.3344444,0,541.3344444,269.5,0,269.5,4.9,0,4.9,536.4344444,29503.89444
17533,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17532,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17531,4273.774999,0,4273.774999,77.70499999,0,77.70499999,0,0,0,0,0,0,77.70499999,4273.774999
17530,688.538889,0,688.538889,12.51888889,0,12.51888889,0,0,0,0,0,0,12.51888889,688.538889
17529,3704.25,0,3704.25,67.35,0,67.35,0,0,0,0,0,0,67.35,3704.25
17528,660,0,660,12,0,12,0,0,0,0,0,0,12,660
17527,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17526,2255,0,2255,41,0,41,1677.5,0,1677.5,30.5,0,30.5,10.5,577.5
17525,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17524,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17523,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17522,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17521,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17520,4070,0,4070,74,0,74,2511.666666,0,2511.666666,45.66666666,0,45.66666666,33.53333334,1844.333334
17519,4070,0,4070,74,0,74,2806.833331,0,2806.833331,51.03333331,0,51.03333331,33.81666668,1859.916667
17518,4070,0,4070,74,0,74,2977.333333,0,2977.333333,54.13333333,0,54.13333333,24.78333333,1363.083333
17517,4070,0,4070,74,0,74,2242.166666,0,2242.166666,40.76666666,0,40.76666666,33.58333334,1847.083334
17516,14492.5,0,14492.5,263.5,0,263.5,9531.499999,0,9531.499999,173.3,0,173.3,139.4,7667
17515,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17514,3300,0,3300,60,0,60,3341.25,0,3341.25,60.75,0,60.75,0,0
17513,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17512,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17511,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17510,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17509,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17508,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17507,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17506,12650,0,12650,230,0,230,5582.5,0,5582.5,101.5,0,101.5,128.5,7067.5
17505,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17504,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17503,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17502,2145,0,2145,39,0,39,1375,0,1375,25,0,25,14,770
17501,4826.25,0,4826.25,87.75,0,87.75,0,0,0,0,0,0,87.75,4826.25
17500,8250,0,8250,150,0,150,0,0,0,0,0,0,150,8250
17499,7672.5,0,7672.5,139.5,0,139.5,0,0,0,0,0,0,139.5,7672.5
17498,5459.880556,0,5459.880556,99.27055556,0,99.27055556,0,0,0,0,0,0,99.27055556,5459.880556
17497,9240,0,9240,168,0,168,0,0,0,0,0,0,168,9240
17496,8470,0,8470,154,0,154,0,0,0,0,0,0,154,8470
17495,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17494,40330.82778,0,40330.82778,733.2877778,0,733.2877778,0,0,0,0,0,0,733.2877778,40330.82778
