WONo,Status,Project,Qty,QtyRec,QtyOS,ActualFinishDate,TotalQtyRecDate,Priority,PartNo,PartDesc,PartGroupCode,OpNo,OpDesc,WC,PlannedSetUp,PlannedRun,BookedSet,BookedRun,OpComplete,OpQtyBooked
17551,Created,A REED,1,0,1,null,null,null,E/15433-3,Manufacturing drawings amalgamating conflicting details from Vesco and CDS drawings,Structural,10,null,GENERAL,0,0,0,0,FALSE,0
17551,Created,A REED,1,0,1,null,null,null,E/15433-3,Manufacturing drawings amalgamating conflicting details from Vesco and CDS drawings,Structural,20,DESIGN & DRAWING,SUBCON,0,0,0,0,FALSE,0
17550,Created,null,1,0,1,null,null,null,E/15940-4,"32"" UNIT

[welding of round blocks, bumper bar, fab weld of ROV grab handle]",Vessels and Pipework,20,WELD THE ITEM 5 ROUND BAR TO THE RISER STRUCTURE.,WELD,0,13.75,0,0,FALSE,0
17550,Created,null,1,0,1,null,null,null,E/15940-4,"32"" UNIT

[welding of round blocks, bumper bar, fab weld of ROV grab handle]",Vessels and Pipework,30,TURN THE RISER HORIZONTAL & SECURE IT TO THE MANIPULATOR.,PLATE,0,1.75,0,0,FALSE,0
17550,Created,null,1,0,1,null,null,null,E/15940-4,"32"" UNIT

[welding of round blocks, bumper bar, fab weld of ROV grab handle]",Vessels and Pipework,40,WELD THE 6no ACTUATORS TO THE RISER STRUCTURE.,WELD,0,18.5,0,0,FALSE,0
17550,Created,null,1,0,1,null,null,null,E/15940-4,"32"" UNIT

[welding of round blocks, bumper bar, fab weld of ROV grab handle]",Vessels and Pipework,50,REMOVE THE TEMPORARY BRACING FROM THE ACTUATORS.,PLATE,0,2,0,0,FALSE,0
17550,Created,null,1,0,1,null,null,null,E/15940-4,"32"" UNIT

[welding of round blocks, bumper bar, fab weld of ROV grab handle]",Vessels and Pipework,60,FLUSH THE INTERNAL WELDS ON THE ACTUATOR CONNECTIONS.,GENERAL,0,4.5,0,0,FALSE,0
17550,Created,null,1,0,1,null,null,null,E/15940-4,"32"" UNIT

[welding of round blocks, bumper bar, fab weld of ROV grab handle]",Vessels and Pipework,70,N.D.T. THE 6no ACTUATOR TO RISER WELDED CONNECTIONS.,SUBCON,0,0,0,0,FALSE,0
17550,Created,null,1,0,1,null,null,null,E/15940-4,"32"" UNIT

[welding of round blocks, bumper bar, fab weld of ROV grab handle]",Vessels and Pipework,80,TURN THE RISER BACK TO THE VERTICAL POSITION & LEVEL IT UP.,PLATE,0,1.5,0,0,FALSE,0
17550,Created,null,1,0,1,null,null,null,E/15940-4,"32"" UNIT

[welding of round blocks, bumper bar, fab weld of ROV grab handle]",Vessels and Pipework,90,DRESS & FIT ITEM 6 (8off) AND ITEM 7 TO THE RISER STRUCTURE.,PLATE,0,6,0,0,FALSE,0
17550,Created,null,1,0,1,null,null,null,E/15940-4,"32"" UNIT

[welding of round blocks, bumper bar, fab weld of ROV grab handle]",Vessels and Pipework,100,PRE-WELD DIMENSIONAL AND ORIENTATION CHECK.,INSPECT,0,0.25,0,0,FALSE,0
17550,Created,null,1,0,1,null,null,null,E/15940-4,"32"" UNIT

[welding of round blocks, bumper bar, fab weld of ROV grab handle]",Vessels and Pipework,110,WELD ITEM 6 (8off) AND ITEM 7 TO THE RISER STRUCTURE.,WELD,0,6.5,0,0,FALSE,0
17550,Created,null,1,0,1,null,null,null,E/15940-4,"32"" UNIT

[welding of round blocks, bumper bar, fab weld of ROV grab handle]",Vessels and Pipework,120,PRE-DELIVERY DIMENSIONAL & VISUAL WELD INSPECTION.,INSPECT,0,1,0,0,FALSE,0
17550,Created,null,1,0,1,null,null,null,E/15940-4,"32"" UNIT

[welding of round blocks, bumper bar, fab weld of ROV grab handle]",Vessels and Pipework,130,COMPLETE ALL REMAINING N.D.T. REQUIREMENTS.,SUBCON,0,0,0,0,FALSE,0
17550,Created,null,1,0,1,null,null,null,E/15940-4,"32"" UNIT

[welding of round blocks, bumper bar, fab weld of ROV grab handle]",Vessels and Pipework,140,FIT THE FLANGE & ACTUATOR PROTECTION & LOAD FOR DELIVERY.,GENERAL,0,1,0,0,FALSE,0
