IssueNo,IssueType,IssuePartNo,IssueGRNNo,IssueGRNLineNo,IssueWO,IssueWOItemNo,IssueQty,IssueUnitCost,IssueStandardCost,IssueDate,IssueNotes,IssueSubCon,IssueMoveReason,IssueReasonCode,IssueRaisePICredit,IssueHasLength,IssueHasArea,IssueNoOfUnits,IssueDimensionLength,IssueUnitOfLength,IssueDimensionBreadth,IssueUnitOfBreadth,IssueGRNOffcutItemNo,IssueIsReverseWOReclaim,IssueIsRework,IssueReworkReasonID,IssuedBy,StockReceipts
382476,WOIssue,RECHARGE INVOICES INCURRED....,82870,1,17524,0,1,19440,0,30-10-2022 00:00,null,FALSE,null,null,FALSE,FALSE,FALSE,0,0,null,0,null,0,FALSE,FALSE,null,414,
382450,WOIssue,NDT001,82844,1,17502,0,1,1384,0,28-10-2022 00:00,null,TRUE,null,null,FALSE,FALSE,FALSE,0,0,null,0,null,0,FALSE,FALSE,null,414,
382299,WOIssue,2 CARTONS OF FILARC 56S WE....,82771,1,17502,0,2,112.77,0,25-10-2022 00:00,null,FALSE,null,null,FALSE,FALSE,FALSE,0,0,null,0,null,0,FALSE,FALSE,null,0,
382294,WOIssue,HOLIDAY INN EXPRESS - WIGA....,82767,1,17502,0,1,486.67,0,25-10-2022 00:00,null,FALSE,null,null,FALSE,FALSE,FALSE,0,0,null,0,null,0,FALSE,FALSE,null,90,
382437,WOIssue,HJP.29124 Size 80x75x12 Ma....,82832,3,17493,0,3,2.55,0,29-10-2022 00:00,null,FALSE,null,null,FALSE,FALSE,FALSE,0,0,null,0,null,0,FALSE,FALSE,null,0,
382436,WOIssue,HJP.29123 size 1455 x 1455....,82832,2,17493,0,1,276.12,0,29-10-2022 00:00,null,FALSE,null,null,FALSE,FALSE,FALSE,0,0,null,0,null,0,FALSE,FALSE,null,0,
382435,WOIssue,HJP 29112 size :172 x150x4....,82832,1,17493,0,12,21.08,0,29-10-2022 00:00,null,FALSE,null,null,FALSE,FALSE,FALSE,0,0,null,0,null,0,FALSE,FALSE,null,0,
382340,WOIssue,"ITEM 201
ROUND BAR 
5"" D....",82810,1,17493,0,1,1099,0,27-10-2022 00:00,null,FALSE,null,null,FALSE,FALSE,FALSE,0,0,null,0,null,0,FALSE,FALSE,null,0,
382338,WOIssue,CARRIAGE....,82808,3,17493,0,1,8.5,0,27-10-2022 00:00,null,FALSE,null,null,FALSE,FALSE,FALSE,0,0,null,0,null,0,FALSE,FALSE,null,0,
382337,WOIssue,26 X 10.0 MLH2S....,82808,2,17493,0,26,6.99,0,27-10-2022 00:00,null,FALSE,null,null,FALSE,FALSE,FALSE,0,0,null,0,null,0,FALSE,FALSE,null,0,
382336,WOIssue,QUOTATION FRA009 12 X 8.0 ....,82808,1,17493,0,12,6.44,0,27-10-2022 00:00,null,FALSE,null,null,FALSE,FALSE,FALSE,0,0,null,0,null,0,FALSE,FALSE,null,0,
382312,WOIssue,CARRIAGE....,82785,5,17493,0,1,6.5,0,26-10-2022 00:00,null,FALSE,null,null,FALSE,FALSE,FALSE,0,0,null,0,null,0,FALSE,FALSE,null,0,
382311,WOIssue,CERTIFICATE OF CONFORMITY ....,82785,4,17493,0,1,16.15,0,26-10-2022 00:00,null,FALSE,null,null,FALSE,FALSE,FALSE,0,0,null,0,null,0,FALSE,FALSE,null,0,
382310,WOIssue,WDS PART No 8504-252 (FOR ....,82785,3,17493,0,7,8.1,0,26-10-2022 00:00,null,FALSE,null,null,FALSE,FALSE,FALSE,0,0,null,0,null,0,FALSE,FALSE,null,0,
382309,WOIssue,WDS PART No 104-214 (FOR S....,82785,2,17493,0,6,13.87,0,26-10-2022 00:00,null,FALSE,null,null,FALSE,FALSE,FALSE,0,0,null,0,null,0,FALSE,FALSE,null,0,
