CustID,CustName,SONo,SOLineNo,SOLineStatus,SOLineQty,QtyOS,SOLineNet,PartDescription,SODate,SOLineRequiredDate,SOLinePromisedDate,SOLinePartNo,NetOS,WONo,WOStatusDescription,WOQtyOS,WOActualStartDate,MaxWOSchedFinish
ABBEYDEMATIC,ABBEY GROUP INDUSTRIAL SERVICES LTD ,6412,1,0,1,1,3705,DEMATIC Crane Crack Repairs,00:00.0,00:00.0,00:00.0,E/15860-1,7410,17502,Created,1,NULL,00:00.0
AGGREGATE,AGGREGATE INDUSTRIES UK LIMITED,5704,1,30,1,0,2677.02,"WASTE CHUTE
23BX1-KH01-ME21-311CH10-002",00:00.0,00:00.0,00:00.0,E/13205-1,0,15276,Completed,0,00:00.0,00:00.0
AGGREGATE,AGGREGATE INDUSTRIES UK LIMITED,5704,2,30,1,0,1695.89,"WASTE CHUTE
23BX1-KH01-ME21-311CH10-003",00:00.0,00:00.0,00:00.0,E/13205-2,0,15277,Completed,0,00:00.0,00:00.0
AGGREGATE,AGGREGATE INDUSTRIES UK LIMITED,5704,3,30,1,0,1820.7,"WASTE CHUTE
23BX1-KH01-ME21-311CH10-004",00:00.0,00:00.0,00:00.0,E/13205-3,0,15278,Completed,0,48:00.0,00:00.0
AGGREGATE,AGGREGATE INDUSTRIES UK LIMITED,5704,4,30,1,0,4970.71,"WASTE CHUTE
23BX1-KH01-ME21-311CH10-005",00:00.0,00:00.0,00:00.0,E/13205-4,0,15279,Completed,0,39:00.0,00:00.0
AGGREGATE,AGGREGATE INDUSTRIES UK LIMITED,5704,5,30,1,0,5142.63,"WASTE CHUTE
23BX1-KH01-ME21-311CH10-006",00:00.0,00:00.0,00:00.0,E/13205-5,0,15280,Completed,0,10:00.0,00:00.0
AGGREGATE,AGGREGATE INDUSTRIES UK LIMITED,5704,6,30,1,0,1623.76,"WASTE CHUTE
23BX1-KH01-ME21-311CH10-007",00:00.0,00:00.0,00:00.0,E/13205-6,0,15281,Completed,0,00:00.0,00:00.0
AGGREGATE,AGGREGATE INDUSTRIES UK LIMITED,5704,7,30,1,0,1438.57,"WASTE CHUTE
23BX1-KH01-ME21-311CH10-008",00:00.0,00:00.0,00:00.0,E/13205-7,0,15282,Completed,0,43:00.0,00:00.0
AGGREGATE,AGGREGATE INDUSTRIES UK LIMITED,5704,8,30,1,0,6319,"LINER PLATES
23BX1-KHO1-ME21-311CH10-009 / 010 / 011 / 012",00:00.0,00:00.0,00:00.0,E/13205-8,0,15283,Completed,0,00:00.0,00:00.0
AIRPROD,AIR PRODUCTS PLC,5192,1,10,1,1,429428.38,TV1 PLANT - GASIFIER SKIRT,00:00.0,00:00.0,00:00.0,E/11463-1,46378265.04,13452,Completed,1,00:00.0,00:00.0
AIRPROD,AIR PRODUCTS PLC,5192,2,10,1,1,180768.6,SITE INSTALLATION OF SKIRT,00:00.0,00:00.0,00:00.0,E/11463-2,11749959,13453,Completed,1,47:00.0,00:00.0
AIRPROD,AIR PRODUCTS PLC,5192,3,0,1,1,2686.69,Down Time on Site for Removal of Steelwork,00:00.0,00:00.0,00:00.0,E/11463-3,2686.69,NULL,NULL,NULL,NULL,NULL
AIRPROD,AIR PRODUCTS PLC,5192,4,0,1,1,25000,Welding of Gussets,00:00.0,00:00.0,00:00.0,E/11463-4,25000,NULL,NULL,NULL,NULL,NULL
AIRPROD,AIR PRODUCTS PLC,5192,5,0,1,1,4058.5,Tapped holes in Wedged Washers,00:00.0,00:00.0,00:00.0,E/11463-5,4058.5,NULL,NULL,NULL,NULL,NULL
AIRPROD,AIR PRODUCTS PLC,5192,6,0,1,1,2135.75,Tapped holes in Cupped Washers,00:00.0,00:00.0,00:00.0,E/11463-6,2135.75,NULL,NULL,NULL,NULL,NULL
AIRPROD,AIR PRODUCTS PLC,5192,7,0,1,1,1067.88,Tapped holes in Washers,00:00.0,00:00.0,00:00.0,E/11463-7,1067.88,NULL,NULL,NULL,NULL,NULL
AIRPROD,AIR PRODUCTS PLC,5192,8,0,1,1,1922.88,Tapped holes in Spring Collar,00:00.0,00:00.0,00:00.0,E/11463-8,1922.88,NULL,NULL,NULL,NULL,NULL
ALLERTON,ALLERTON STEEL LIMITED,5531,1,30,1,0,91700,TRUSS A400,00:00.0,00:00.0,00:00.0,E/12836-1,0,14608,Completed,0,00:00.0,00:00.0
ALLERTON,ALLERTON STEEL LIMITED,5531,2,30,1,0,0,TRUSS A600,00:00.0,00:00.0,00:00.0,E/12836-2,0,14609,Completed,0,00:00.0,00:00.0
LOTTE,ALPEK POLYESTER UK LIMITED,5787,3,0,1,1,652,"Additional costs for variation to original scope
PO 47035054",00:00.0,00:00.0,00:00.0,E/13484-3,652,NULL,NULL,NULL,NULL,NULL
LOTTE,ALPEK POLYESTER UK LIMITED,6277,1,10,16,16,236485,"DESIGN PLATFORMS 

[ SHOP WORK ]",00:00.0,00:00.0,00:00.0,E/15012-1,17026920,17078,Completed,0,00:00.0,00:00.0
LOTTE,ALPEK POLYESTER UK LIMITED,6277,2,10,1,1,0,"DESIGN PLATFORMS

[ SITE WORK ]",00:00.0,00:00.0,00:00.0,E/15012-2,0,17189,Completed,0,09:00.0,00:00.0
LOTTE,ALPEK POLYESTER UK LIMITED,6277,3,10,1,1,1700,SHOP WORK - PRIMARY STEELWORK FOR 2 FLOOR EXTENSIONS / GRATING & HANDRAILS,00:00.0,00:00.0,00:00.0,E/15012-3,8500,17349,Completed,0,37:00.0,00:00.0
LOTTE,ALPEK POLYESTER UK LIMITED,6277,4,10,1,1,2530,SITE WORK - PRIMARY STEELWORK FOR 2 FLOOR EXTENSIONS / GRATING & HANDRAILS,00:00.0,00:00.0,00:00.0,E/15012-4,2530,17350,Completed,0,14:00.0,00:00.0
