WO,Line,Percent Complete*
17269,3,100
17294,3,5
17295,3,10
17301,3,100
17303,3,100
17311,3,100
17321,3,95
17335,3,100
17356,3,100
17357,3,100
17358,3,100
17362,3,100
17379,3,100
17389,3,100
17399,3,100
17414,3,100
17463,3,100
17464,3,100
17465,3,95
17469,3,100
17233,4,100
17268,4,100
17272,4,100
17275,4,100
17279,4,100
17280,4,100
17281,4,100
17282,4,100
17283,4,100
17287,4,100
17292,4,100
17296,4,100
17297,4,100
17298,4,100
17299,4,100
17301,4,100
17303,4,100
17311,4,100
17321,4,95
17325,4,100
17335,4,100
17357,4,100
17358,4,100
17362,4,100
17378,4,100
17379,4,100
17389,4,100
17399,4,100
17413,4,100
17414,4,100
17463,4,100
17464,4,100
17465,4,100
17469,4,100
16589,5,100
16599,5,100
16924,5,5
16926,5,100
16927,5,100
16928,5,100
16929,5,100
16930,5,100
16931,5,100
16932,5,100
16933,5,100
16934,5,100
17075,5,100
17078,5,100
17233,5,100
17268,5,100
17272,5,100
17275,5,100
17283,5,100
17287,5,100
17292,5,100
17296,5,100
17297,5,100
17298,5,100
17299,5,100
17301,5,100
17303,5,100
17321,5,55
17357,5,100
17362,5,100
17399,5,100
17416,5,100
17463,5,100
17464,5,100
17465,5,100
17469,5,100
17233,6,100
17253,6,40
17268,6,100
17272,6,100
17287,6,100
17297,6,100
17298,6,100
17469,6,100
17203,7,100
17233,7,100
17277,7,5
17278,7,65
17287,7,100
17289,7,100
14692,8,100
17263,9,100
17265,9,100
17298,9,100
14518,10,100
14580,10,100
14581,10,100
14582,10,100
14621,10,50
14622,10,50
14653,10,70
14656,10,100
14657,10,100
14662,10,100
14687,10,100
14691,10,100
14695,10,100
14696,10,100
14697,10,100
14698,10,100
14699,10,100
14700,10,100
14701,10,100
14706,10,100
14722,10,100
14729,10,100
14735,10,100
14736,10,100
14782,10,100
14786,10,100
14787,10,100
14788,10,100
14789,10,100
14790,10,100
14791,10,100
14792,10,100
14793,10,100
14794,10,100
14795,10,100
14798,10,100
14800,10,100
14801,10,100
14802,10,100
14806,10,100
14807,10,100
14811,10,100
14812,10,100
14813,10,100
14827,10,100
14829,10,100
14830,10,100
14831,10,100
14832,10,100
14834,10,100
14835,10,100
14836,10,100
14837,10,100
14848,10,90
14862,10,100
14878,10,100
14879,10,100
14880,10,100
14881,10,100
14883,10,100
14884,10,100
14885,10,100
14886,10,100
14888,10,100
14889,10,100
14890,10,100
14891,10,100
14892,10,100
14893,10,100
14894,10,100
14902,10,100
14903,10,100
14907,10,100
14908,10,100
14909,10,100
14911,10,100
14914,10,100
14915,10,100
15080,10,60
15081,10,100
15082,10,100
15083,10,95
15087,10,100
15088,10,100
15094,10,100
15095,10,100
15096,10,100
15097,10,100
15099,10,100
15100,10,100
15101,10,100
15102,10,100
15104,10,100
15105,10,100
15106,10,100
15107,10,100
15109,10,100.
15110,10,100
15111,10,100
15112,10,100
15115,10,100
15117,10,10
15119,10,100
15120,10,100
15138,10,60
15139,10,65
15140,10,100
15150,10,100
15179,10,100
15180,10,100
15183,10,100
15184,10,100
15196,10,100
15284,10,100
15287,10,48
15289,10,100
15495,10,100
15496,10,100
15497,10,100
15498,10,100
15499,10,100
15500,10,100
15501,10,100
15502,10,100
15503,10,100
15504,10,100
15505,10,100
15506,10,100
15507,10,100
15508,10,100
15509,10,100
15510,10,100
15511,10,100
15512,10,100
15513,10,100
15842,10,90
15843,10,80
15845,10,100
15846,10,100
15847,10,100
15848,10,100
15883,10,90
15884,10,80
15921,10,100
15938,10,100
15939,10,100
16143,10,100
16230,10,100
16299,10,100
16302,10,100
16373,10,100
16388,10,100
16389,10,100
16390,10,100
16391,10,100
16396,10,100
16416,10,100
16428,10,100
16435,10,100
16436,10,100
16437,10,100
16438,10,100
16439,10,100
16440,10,90
16441,10,100
16443,10,90
16446,10,98
16448,10,100
16450,10,100
16451,10,100
16452,10,100
16454,10,100
16455,10,100
16456,10,100
16457,10,100
16458,10,100
16459,10,100
16460,10,100
16461,10,100
16492,10,100
16500,10,100
16501,10,100
16502,10,100
16528,10,100
16531,10,100
16533,10,100
16534,10,100
16536,10,100
16537,10,100
16546,10,100
16565,10,100
16569,10,100
16571,10,85
16572,10,100
16574,10,100
16588,10,100
16589,10,100
16599,10,100
16603,10,95
16604,10,100
16605,10,100
16612,10,100
16617,10,100
16627,10,100
16628,10,100
16633,10,100
16634,10,100
16635,10,100
16636,10,100
16637,10,100
16638,10,100
16639,10,100
16640,10,100
16641,10,100
16642,10,100
16643,10,100
16644,10,100
16651,10,100
16652,10,100
16662,10,100
16663,10,100
16664,10,100
16665,10,100
16666,10,100
16669,10,100
16670,10,100
16672,10,100
16673,10,100
16674,10,100
16677,10,100
16680,10,100
16681,10,100
16684,10,100
16700,10,5
16701,10,100
16703,10,100
16704,10,100
16705,10,100
16706,10,100
16707,10,100
16708,10,100
16709,10,100
16710,10,100
16712,10,100
16725,10,100
16730,10,100
16733,10,100
16734,10,100
16735,10,100
16736,10,100
16737,10,100
16738,10,100
16739,10,100
16740,10,100
16745,10,100
16788,10,100
16789,10,100
16790,10,60
16792,10,50
16811,10,100
16812,10,100
16813,10,100
16815,10,100
16835,10,10
16836,10,100
16852,10,100
16854,10,100
16859,10,100
16893,10,50
16894,10,100
16899,10,100
16901,10,100
16905,10,100
16923,10,100
16924,10,100
16926,10,100
16927,10,100
16928,10,100
16929,10,100
16930,10,100
16931,10,100
16932,10,100
16933,10,100
16934,10,100
16937,10,10
16938,10,100
16944,10,100
16954,10,100
16958,10,100
16966,10,100
16975,10,100
16978,10,100
16991,10,10
16995,10,100
17008,10,100
17023,10,100
17028,10,100
17030,10,100
17037,10,100
17044,10,100
17045,10,100
17051,10,100
17052,10,100
17053,10,100
17054,10,100
17068,10,100
17074,10,100
17075,10,100
17076,10,95
17078,10,100
17080,10,100
17081,10,100
17082,10,100
17083,10,100
17085,10,100
17089,10,100
17091,10,100
17092,10,100
17095,10,70
17096,10,75
17112,10,100
17113,10,100
17114,10,100
17117,10,100
17123,10,100
17126,10,100
17127,10,100
17128,10,100
17129,10,100
17130,10,100
17131,10,100
17132,10,100
17138,10,100
17139,10,100
17140,10,100
17141,10,100
17142,10,100
17143,10,100
17152,10,100
17153,10,100
17158,10,100
17159,10,100
17160,10,100
17161,10,100
17163,10,100
17170,10,100
17172,10,100
17174,10,100
17177,10,100
17179,10,100
17184,10,100
17185,10,100
17186,10,100
17187,10,100
17188,10,100
17189,10,90
17190,10,100
17191,10,100
17193,10,100
17196,10,100
17197,10,100
17198,10,100
17200,10,100
17201,10,100
17202,10,100
17203,10,100
17204,10,100
17205,10,100
17206,10,100
17207,10,100
17208,10,100
17209,10,100
17210,10,100
17211,10,100
17214,10,100
17215,10,100
17216,10,100
17217,10,100
17218,10,100
17219,10,100
17220,10,100
17221,10,100
17222,10,100
17223,10,100
17230,10,100
17232,10,100
17233,10,100
17234,10,100
17235,10,100
17236,10,100
17237,10,100
17238,10,100
17239,10,100
17240,10,100
17241,10,100
17242,10,100
17243,10,100
17244,10,100
17245,10,100
17247,10,80
17249,10,5
17250,10,100
17252,10,100
17254,10,100
17255,10,100
17256,10,100
17259,10,100
17262,10,100
17265,10,100
17268,10,100
17272,10,100
17277,10,40
17287,10,100
17288,10,100
17289,10,100
17291,10,100
17294,10,100
17301,10,100
17302,10,100
17303,10,100
17305,10,100
17309,10,100
17311,10,5
17314,10,100
17317,10,100
17318,10,100
17319,10,100
17320,10,40
17321,10,75
17324,10,100
17337,10,100
17343,10,100
17348,10,100
17349,10,100
17350,10,20
17351,10,100
17352,10,100
17353,10,50
17356,10,100
17357,10,100
17358,10,100
17362,10,100
17374,10,95
17376,10,100
17377,10,100
17378,10,100
17379,10,100
17380,10,5
17381,10,100
17383,10,100
17384,10,100
17385,10,100
17386,10,100
17387,10,70
17389,10,100
17391,10,100
17392,10,60
17393,10,100
17394,10,100
17395,10,100
17398,10,25
17399,10,55
17403,10,100
17407,10,10
17408,10,20
17413,10,100
17414,10,100
17415,10,100
17416,10,100
17421,10,100
17463,10,100
17469,10,100
17473,10,100
14716,15,100
14722,15,100
15938,15,100
16599,15,100
16735,15,100
16736,15,90
16737,15,100
16740,15,100
16958,15,100
17051,15,100
17052,15,100
17053,15,100
17054,15,100
17068,15,100
17185,15,100
17243,15,100
17321,15,100
17415,15,100
15938,16,100
14518,20,75
14580,20,100
14582,20,100
14621,20,50
14656,20,100
14657,20,100
14662,20,100
14691,20,100
14695,20,100
14696,20,100
14697,20,100
14698,20,100
14699,20,100
14700,20,100
14701,20,100
14706,20,100
14722,20,100
14735,20,100
14736,20,100
14782,20,100
14786,20,55
14787,20,100
14788,20,100
14789,20,100
14790,20,100
14791,20,100
14792,20,100
14793,20,100
14794,20,100
14795,20,100
14798,20,100
14800,20,100
14801,20,100
14802,20,100
14806,20,100
14807,20,100
14811,20,100
14812,20,100
14813,20,100
14823,20,100
14827,20,100
14829,20,100
14830,20,100
14831,20,100
14832,20,100
14834,20,100
14835,20,100
14836,20,100
14837,20,100
14843,20,100
14848,20,100
14862,20,80
14878,20,100
14879,20,50
14880,20,50
14881,20,100
14883,20,50
14884,20,50
14885,20,50
14886,20,50
14887,20,30
14888,20,100
14889,20,100
14890,20,100
14891,20,100
14892,20,50
14893,20,50
14894,20,50
14902,20,100
14903,20,100
14907,20,90
14908,20,100
14911,20,100
14914,20,100
14915,20,98
15070,20,100
15071,20,100
15081,20,60
15082,20,60
15083,20,45
15087,20,100
15088,20,100
15094,20,100
15095,20,100
15096,20,100
15097,20,100
15099,20,100
15100,20,100
15101,20,100
15102,20,100
15104,20,100
15105,20,100
15106,20,100
15107,20,100
15109,20,100
15110,20,100
15111,20,100
15112,20,100
15115,20,100
15119,20,100
15120,20,98
15137,20,75
15138,20,80
15139,20,95
15140,20,75
15150,20,100
15179,20,100
15180,20,100
15183,20,100
15184,20,100
15196,20,100
15284,20,100
15287,20,22
15289,20,100
15496,20,100
15497,20,100
15498,20,100
15499,20,100
15500,20,100
15501,20,100
15502,20,100
15503,20,100
15504,20,100
15505,20,100
15506,20,100
15507,20,100
15508,20,100
15509,20,100
15510,20,100
15511,20,100
15512,20,100
15513,20,100
15842,20,100
