WONo,PlannedLabour,PlannedLabourST,PlannedLabourTotalRT,PlannedHours,PlannedHoursST,PlannedHoursTotalRT,ActualLabour,ActualLabourST,ActualLabourUnit,ActualHours,ActualHoursST,ActualHoursUnit,OutstandingPlannedHours,OutstandingPlannedLabourCost
1,130.00000000000000,20.00000000000000,110.00000000000000,7.00000000,1.00000000,6.00000000,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,7.00000000,130.0000000000000
2,8268.00000000000000,0.00000000000000,8268.00000000000000,458.00000000,0.00000000,458.00000000,113.333340,0.000000,113.333340,6.16666700,0.00000000,6.16666700,451.83333300,8154.6666600000000
3,36.00000000000000,0.00000000000000,36.00000000000000,2.00000000,0.00000000,2.00000000,22.199994,0.000000,22.199994,1.23333300,0.00000000,1.23333300,0.76666700,13.8000060000000
4,130.00000000000000,20.00000000000000,110.00000000000000,7.00000000,1.00000000,6.00000000,130.500000,0.000000,130.500000,7.25000000,0.00000000,7.25000000,3.75000000,71.5000000000000
5,598.00000000000000,0.00000000000000,598.00000000000000,33.75000000,0.00000000,33.75000000,406.666600,0.000000,406.666600,20.33333000,0.00000000,20.33333000,25.00000000,423.0000000000000
6,1548.00000000000000,0.00000000000000,1548.00000000000000,86.00000000,0.00000000,86.00000000,315.000000,0.000000,315.000000,17.50000000,0.00000000,17.50000000,68.50000000,1233.0000000000000
7,108.00000000000000,0.00000000000000,108.00000000000000,6.00000000,0.00000000,6.00000000,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,6.00000000,108.0000000000000
8,36.00000000000000,0.00000000000000,36.00000000000000,2.00000000,0.00000000,2.00000000,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,2.00000000,36.0000000000000
9,100.93749994000000,0.00000000000000,100.93749994000000,5.83333333,0.00000000,5.83333333,27.000000,0.000000,27.000000,1.50000000,0.00000000,1.50000000,5.08333333,87.4374999400000
10,1209.06250000000000,0.00000000000000,1209.06250000000000,76.00000000,0.00000000,76.00000000,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,76.00000000,1209.0625000000000
11,1050.79999907000000,0.00000000000000,1050.79999907000000,64.96666661,0.00000000,64.96666661,1622.687500,0.000000,1622.687500,98.75000000,0.00000000,98.75000000,35.74999998,562.4583330100000
12,58.37500000000000,0.00000000000000,58.37500000000000,4.00000000,0.00000000,4.00000000,128.250000,0.000000,128.250000,9.00000000,0.00000000,9.00000000,3.00000000,44.1250000000000
13,169.58333307500000,0.00000000000000,169.58333307500000,10.33333332,0.00000000,10.33333332,72.749999,0.000000,72.749999,4.33333330,0.00000000,4.33333330,8.50000002,140.7083336000000
14,720.00000000000000,0.00000000000000,720.00000000000000,40.00000000,0.00000000,40.00000000,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,40.00000000,720.0000000000000
2019,1439.72499979000000,0.00000000000000,1439.72499979000000,86.88333332,0.00000000,86.88333332,2320.312500,0.000000,2320.312500,139.75000000,0.00000000,139.75000000,1.71666666,28.9124998950000
2036,1100.40000000000000,0.00000000000000,1100.40000000000000,67.20000000,0.00000000,67.20000000,739.312500,0.000000,739.312500,43.25000000,0.00000000,43.25000000,23.95000000,361.0875000000000
2037,1221.39999994750000,0.00000000000000,1221.39999994750000,73.03333333,0.00000000,73.03333333,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,73.03333333,1221.3999999475000
2038,1560.00000000000000,0.00000000000000,1560.00000000000000,78.00000000,0.00000000,78.00000000,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,78.00000000,1560.0000000000000
2039,143.99999964000000,0.00000000000000,143.99999964000000,7.99999998,0.00000000,7.99999998,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,7.99999998,143.9999996400000
2040,324.00000000000000,0.00000000000000,324.00000000000000,18.00000000,0.00000000,18.00000000,144.000000,0.000000,144.000000,8.00000000,0.00000000,8.00000000,10.00000000,180.0000000000000
2041,559.49999989500000,0.00000000000000,559.49999989500000,32.66666666,0.00000000,32.66666666,1321.687500,0.000000,1321.687500,76.50000000,0.00000000,76.50000000,0.16666666,2.6249998950000
2042,420.13749994750000,0.00000000000000,420.13749994750000,25.23333333,0.00000000,25.23333333,230.687500,0.000000,230.687500,14.00000000,0.00000000,14.00000000,15.40000000,255.0750000000000
2043,151.31250000000000,0.00000000000000,151.31250000000000,8.50000000,0.00000000,8.50000000,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,8.50000000,151.3125000000000
2044,69.30000000000000,0.00000000000000,69.30000000000000,4.40000000,0.00000000,4.40000000,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,4.40000000,69.3000000000000
2045,4294.37499988000000,0.00000000000000,4294.37499988000000,271.16666666,0.00000000,271.16666666,8331.250000,0.000000,8331.250000,492.75000000,0.00000000,492.75000000,40.00000000,578.6250000000000
